vehicle_type,make,model,year,vehicle_age_years,mileage,fuel_type,transmission,engine_size_cc,severity_level,symptoms,symptom_count,probable_cause,repair_type,estimated_cost_min_mad,estimated_cost_max_mad
moto,Honda,CB500,2019,5,59116,diesel,automatic,600,high,AC not cooling well,1,AC gas leak,Refill AC refrigerant,558,1024
bus,Mercedes,C-Class,2010,14,153995,hybrid,manual,5000,medium,"car pulls to one side, brake pedal feels soft, noise when braking",3,Seized caliper,Replace brake caliper,1836,3305
car,Renault,Clio,2016,8,78692,diesel,manual,1800,low,rough idle,1,Spark plug electrode wear,Replace spark plugs,360,720
car,Volkswagen,Passat,2012,12,282589,petrol,manual,2000,high,"noise when braking, brake pedal vibration",2,Warped brake disc,Replace brake discs,3406,5676
car,Peugeot,208,2013,11,212505,petrol,automatic,2500,medium,"brake pedal vibration, brake pedal feels soft, noise when braking",3,Worn brake pads,Replace brake pads,1196,2194
car,Hyundai,i10,2010,14,131916,petrol,automatic,1600,critical,"dim headlights, battery warning light, electrical accessories failing",3,Alternator failure,Replace alternator,3537,6190
car,Hyundai,i10,2007,17,196363,hybrid,manual,1800,high,"AC making noise, burning smell",2,AC compressor failure,Replace AC compressor,6793,12228
truck,Mercedes,Sprinter,2009,15,115865,hybrid,manual,4000,medium,"burning smell, car pulls to one side",2,Caliper hydraulic leak,Replace brake caliper,1905,3429
truck,Ford,Focus,2007,17,159234,petrol,automatic,6000,critical,"AC not cooling well, AC making noise, burning smell",3,Compressor clutch wear,Replace AC compressor,7806,14051
moto,Honda,PCX,2015,9,74658,diesel,automatic,700,critical,"difficulty starting, dim headlights, battery warning light",3,Dead battery,Replace battery,1627,2713
car,Ford,Kuga,2014,10,99363,diesel,manual,1000,critical,"high fuel consumption, fuel smell, black smoke from exhaust, rough idle",4,Clogged fuel injector,Replace fuel injectors,2821,5361
car,Ford,Ranger,2015,9,8030,petrol,automatic,2500,high,"black smoke from exhaust, rough idle",2,Timing belt tensioner failure,Replace timing belt,2583,4570
bus,Volvo,FH16,2007,17,44615,petrol,manual,5000,high,AC making noise,1,AC compressor failure,Replace AC compressor,5385,9693
