vehicle_type,make,model,year,vehicle_age_years,mileage,fuel_type,transmission,engine_size_cc,severity_level,symptoms,symptom_count,probable_cause,repair_type,estimated_cost_min_mad,estimated_cost_max_mad
car,Toyota,Hilux,2008,16,96463,petrol,automatic,2500,low,"rough idle, poor fuel consumption, fuel smell in cabin",3,Clogged fuel injector,Replace fuel injectors,1345,2556
bus,Mercedes,A-Class,2022,2,81659,diesel,manual,8000,high,"burning smell, brake pedal vibration, car pulls to one side when braking",3,Caliper hydraulic leak,Replace brake caliper,2052,3694
bus,Mercedes,E-Class,2024,0,328381,hybrid,automatic,5000,medium,"burning smell, uneven brake wear, car pulls to one side when braking",3,Caliper hydraulic leak,Replace brake caliper,1980,3565
car,Renault,Kangoo,2012,12,258253,diesel,manual,1800,high,"grinding noise when shifting, gear slipping",2,Gearbox bearing wear,Repair gearbox,9710,18034
car,Mercedes,Sprinter,2022,2,244290,hybrid,automatic,1000,high,"low oil level warning, oil burning smell, blue smoke from exhaust, oil stain under car",4,Oil pan seal failure,Fix oil leak,1938,3634
bus,Volvo,FMX,2007,17,169256,diesel,manual,6000,critical,"brake pedal vibration, brake pedal soft, squeaking brakes, suspension noise",4,Worn brake pads,Replace brake pads,2136,3916
car,Kia,Rio,2005,19,186930,diesel,automatic,1600,low,"engine overheating, milky oil on dipstick, white smoke from exhaust",3,Overheating damage to gasket,Replace head gasket,5941,10396
moto,Yamaha,NMAX,2018,6,322160,diesel,automatic,700,low,oil burning smell,1,Valve cover gasket leak,Fix oil leak,1225,2297
bus,Mercedes,C-Class,2019,5,145739,hybrid,manual,6000,medium,"poor fuel consumption, check engine light on",2,O2 sensor contamination,Replace oxygen sensor,968,1775
car,Renault,Clio,2016,8,303995,diesel,manual,1800,high,"oil burning smell, oil stain under car",2,Oil pan seal failure,Fix oil leak,2295,4304
car,Peugeot,Partner,2018,6,312274,diesel,automatic,1600,medium,car does not start,1,Dead battery,Replace battery,1344,2241
moto,Honda,CBR600,2021,3,80250,petrol,automatic,600,medium,"sweet smell from engine, coolant level dropping, engine overheating, coolant puddle under car",4,Radiator pinhole leak,Fix coolant leak,929,1703
car,Volkswagen,Tiguan,2008,16,274963,petrol,manual,1200,high,"blue smoke from exhaust, oil burning smell",2,Valve cover gasket leak,Fix oil leak,2187,4101
car,Renault,Clio,2010,14,168241,petrol,automatic,2200,critical,"engine hesitation on acceleration, fuel smell in cabin, poor fuel consumption",3,Clogged fuel injector,Replace fuel injectors,3152,5990
car,Kia,Rio,2009,15,30050,hybrid,automatic,1200,medium,"burning smell when changing gears, clutch pedal spongy, clutch hard to press, clutch slipping",4,Worn clutch disc,Replace clutch kit,2974,5205
bus,Isuzu,Forward,2016,8,264332,diesel,automatic,7000,critical,"brake pedal vibration, grinding brake noise",2,Warped brake disc,Replace brake discs,4210,7017
truck,Isuzu,NQR,2012,12,67047,diesel,automatic,4000,medium,"nose dive when braking, suspension noise, excessive bouncing after bump",3,Shock absorber oil leak,Replace shock absorbers,1698,2933
car,Hyundai,i30,2023,1,58629,diesel,manual,1000,high,"AC clutch not engaging, AC not cooling, AC compressor noise",3,Compressor clutch wear,Replace AC compressor,4961,8931
moto,Yamaha,XT660,2012,12,31949,hybrid,automatic,600,medium,"AC not cooling, AC weak airflow, AC blows warm air",3,Low refrigerant,Refill AC refrigerant,468,858
car,Ford,Transit,2006,18,252665,diesel,manual,2200,medium,fuel smell in cabin,1,Clogged fuel injector,Replace fuel injectors,2069,3932
car,Peugeot,208,2006,18,246042,diesel,manual,1600,high,"battery drains while driving, alternator warning light, electrical accessories failing",3,Alternator belt wear,Replace alternator,3424,5993
car,BMW,X5,2012,12,339254,petrol,manual,1400,critical,"AC not cooling, AC blows warm air, AC weak airflow",3,AC gas leak,Refill AC refrigerant,1121,2055
moto,Honda,Forza,2022,2,50685,hybrid,automatic,700,medium,"fuel smell in cabin, poor fuel consumption, engine hesitation on acceleration",3,Injector seal failure,Replace fuel injectors,1518,2884
moto,Honda,Forza,2024,0,6805,diesel,manual,125,critical,"grinding noise when shifting, transmission jerking, gear slipping",3,Gearbox bearing wear,Repair gearbox,7881,14636
bus,Volvo,9700,2016,8,268656,hybrid,manual,7000,medium,"check engine light on, black smoke from exhaust",2,Failed O2 sensor,Replace oxygen sensor,1229,2254
truck,Mercedes,Sprinter,2019,5,170174,diesel,automatic,5000,high,"rough idle, white smoke from exhaust, engine overheating",3,Blown head gasket,Replace head gasket,8790,15383
car,Volkswagen,Passat,2018,6,326053,diesel,manual,2000,critical,AC not cooling,1,Low refrigerant,Refill AC refrigerant,1020,1870
bus,Volvo,B8R,2013,11,268153,diesel,automatic,7000,low,coolant puddle under car,1,Radiator pinhole leak,Fix coolant leak,1006,1844
truck,Mercedes,Vito,2022,2,169356,petrol,manual,4000,high,"brake pedal soft, brake pedal vibration",2,Brake pad degradation,Replace brake pads,1358,2491
truck,Ford,Transit,2008,16,342105,hybrid,automatic,6000,medium,"AC weak airflow, AC not cooling, AC blows warm air",3,AC gas leak,Refill AC refrigerant,782,1434
moto,Yamaha,MT-07,2020,4,234153,diesel,manual,700,medium,"engine hesitation on acceleration, poor fuel consumption, fuel smell in cabin, rough idle",4,Clogged fuel injector,Replace fuel injectors,1947,3700
car,Kia,Sportage,2024,0,326074,petrol,manual,2200,low,"alternator warning light, battery drains while driving",2,Alternator failure,Replace alternator,1960,3430
truck,Isuzu,D-Max,2016,8,237799,diesel,automatic,3000,high,"engine overheating, coolant overflow",2,Radiator crack,Replace radiator,3538,5987
car,Ford,Transit,2024,0,254098,diesel,manual,2000,high,"suspension noise, uneven tire wear, excessive bouncing after bump",3,Worn shock absorbers,Replace shock absorbers,2565,4430
car,Kia,Sportage,2008,16,240267,petrol,manual,1600,medium,"suspension noise, front end wandering",2,Ball joint wear,Replace ball joint,1857,3251
car,Ford,Focus,2020,4,265478,diesel,automatic,1600,medium,"rough idle at startup, hard to start when cold",2,Fouled spark plugs,Replace spark plugs,627,1255
car,Peugeot,Partner,2023,1,76288,hybrid,manual,1000,high,"fuel smell in cabin, rough idle",2,Clogged fuel injector,Replace fuel injectors,2025,3849
car,Peugeot,Expert,2017,7,199913,petrol,automatic,1400,medium,"failed emissions test, poor fuel consumption, black smoke from exhaust, check engine light on",4,Failed O2 sensor,Replace oxygen sensor,1183,2170
bus,Mercedes,A-Class,2014,10,233351,diesel,manual,7000,medium,front end wandering,1,Ball joint wear,Replace ball joint,1625,2844
car,Ford,Focus,2006,18,23928,hybrid,manual,1800,high,"steering wheel vibration, front end wandering, clunking noise when turning",3,Ball joint socket failure,Replace ball joint,1715,3002
car,Mercedes,E-Class,2020,4,296292,diesel,automatic,1400,medium,brake vibration at high speed,1,Disc surface wear,Replace brake discs,2528,4214
car,Volkswagen,Polo,2007,17,24720,petrol,manual,2200,high,"engine overheating, coolant overflow",2,Radiator corrosion,Replace radiator,2926,4952
car,Volkswagen,Polo,2011,13,340180,diesel,manual,1000,medium,"check engine light on, black smoke from exhaust, poor fuel consumption",3,O2 sensor contamination,Replace oxygen sensor,1472,2698
truck,Mercedes,C-Class,2008,16,340415,diesel,automatic,5000,medium,"sweet smell from engine, coolant level dropping, coolant puddle under car, engine overheating",4,Cracked coolant hose,Fix coolant leak,1369,2510
car,Dacia,Duster,2008,16,225564,hybrid,manual,2500,high,"heater not working, poor fuel consumption",2,Stuck thermostat,Replace thermostat,1252,2227
car,Volkswagen,Passat,2013,11,155839,petrol,automatic,2500,medium,grinding noise when shifting,1,Gearbox synchronizer failure,Repair gearbox,6390,11867
car,Toyota,Land Cruiser,2008,16,339094,petrol,manual,1000,medium,oil burning smell,1,Valve cover gasket leak,Fix oil leak,1851,3470
truck,Ford,Ranger,2020,4,340841,hybrid,manual,3500,medium,"gear slipping, transmission jerking, grinding noise when shifting, gear pops out",4,Gearbox synchronizer failure,Repair gearbox,7588,14092
bus,Isuzu,NQR,2015,9,242227,diesel,automatic,8000,high,"failed emissions test, check engine light on",2,O2 sensor contamination,Replace oxygen sensor,1587,2910
car,Ford,Transit,2005,19,28145,hybrid,manual,1000,high,"suspension noise, brake pedal soft",2,Worn brake pads,Replace brake pads,1291,2367
bus,Isuzu,NPR,2009,15,124360,petrol,automatic,7000,high,"AC compressor noise, AC clutch not engaging, burning smell",3,Compressor clutch wear,Replace AC compressor,5645,10162
car,Renault,Kangoo,2022,2,224640,diesel,automatic,1000,low,"nose dive when braking, suspension noise, excessive bouncing after bump, uneven tire wear",4,Shock absorber oil leak,Replace shock absorbers,1535,2651
car,BMW,Serie 5,2007,17,258583,petrol,manual,1200,medium,"AC weak airflow, AC not cooling",2,Low refrigerant,Refill AC refrigerant,691,1268
truck,Isuzu,D-Max,2012,12,331808,hybrid,manual,4000,medium,"front end wandering, steering wheel vibration, clunking noise when turning, suspension noise",4,Ball joint wear,Replace ball joint,1791,3134
car,Volkswagen,Polo,2007,17,297777,diesel,manual,1600,critical,"battery drains while driving, battery warning light, alternator warning light",3,Alternator belt wear,Replace alternator,5045,8830
car,Toyota,Hilux,2014,10,5206,petrol,automatic,1400,medium,"check engine light on, black smoke from exhaust, failed emissions test",3,Failed O2 sensor,Replace oxygen sensor,865,1586
car,Peugeot,206,2014,10,160732,diesel,automatic,1400,low,"engine wont start suddenly, ticking noise from engine top",2,Timing belt wear,Replace timing belt,1795,3176
car,Toyota,RAV4,2016,8,154843,diesel,automatic,1200,high,"hard to start when cold, engine misfires, poor fuel consumption, rough idle at startup",4,Fouled spark plugs,Replace spark plugs,699,1399
car,Hyundai,i30,2021,3,15339,diesel,manual,1000,low,clutch pedal spongy,1,Clutch pressure plate failure,Replace clutch kit,2160,3781
car,Mercedes,Vito,2019,5,129126,hybrid,manual,1600,medium,"engine wont start suddenly, ticking noise from engine top",2,Timing belt wear,Replace timing belt,2049,3626
car,Mercedes,C-Class,2019,5,76204,petrol,manual,1000,critical,"car pulls to one side when braking, burning smell, brake pedal vibration",3,Caliper hydraulic leak,Replace brake caliper,2776,4997
car,BMW,X3,2014,10,120473,hybrid,manual,1200,critical,"excessive bouncing after bump, uneven tire wear",2,Shock absorber oil leak,Replace shock absorbers,3096,5349
car,Volkswagen,Caddy,2005,19,299543,diesel,manual,1600,medium,sweet smell from engine,1,Cracked coolant hose,Fix coolant leak,1329,2436
truck,Ford,Ranger,2005,19,73517,petrol,manual,5000,medium,"burning smell, AC compressor noise",2,Compressor clutch wear,Replace AC compressor,4351,7831
car,Dacia,Logan,2009,15,176410,petrol,automatic,1200,low,"check engine light on, failed emissions test",2,Failed O2 sensor,Replace oxygen sensor,850,1559
truck,Ford,Focus,2016,8,317097,petrol,manual,6000,medium,"battery drains while driving, battery warning light",2,Alternator failure,Replace alternator,2508,4389
moto,Yamaha,NMAX,2008,16,43938,hybrid,manual,250,medium,"burning smell, car pulls to one side when braking, uneven brake wear",3,Seized caliper,Replace brake caliper,1782,3208
moto,Honda,CRF,2015,9,144133,hybrid,automatic,400,high,"visible radiator leak, coolant loss",2,Radiator crack,Replace radiator,2840,4806
bus,Mercedes,A-Class,2006,18,216537,diesel,automatic,8000,medium,"poor fuel consumption, engine overheating, engine slow to warm up, heater not working",4,Stuck thermostat,Replace thermostat,1012,1800
bus,Volvo,B8R,2016,8,232124,petrol,manual,6000,low,"AC compressor noise, AC clutch not engaging",2,AC compressor failure,Replace AC compressor,3729,6713
